gene_list	this_sample
OR4F5	0.1
OR4F29	1.6
OR4F16	1.6
SAMD11	1.6
NOC2L	43.0
KLHL17	20.0
PLEKHN1	19.6
PERM1	7.3
HES4	6.9
ISG15	86.5
AGRN	196.5
RNF223	2.0
C1orf159	19.7
TTLL10	2.7
TNFRSF18	3.4
TNFRSF4	4.3
SDF4	82.2
B3GALT6	11.1
C1QTNF12	3.7
UBE2J2	50.0
SCNN1D	3.9
ACAP3	45.7
PUSL1	12.5
INTS11	101.9
CPTP	21.1
TAS1R3	11.9
DVL1	68.5
MXRA8	88.1
AURKAIP1	34.3
CCNL2	185.1
MRPL20	67.7
ANKRD65	0.3
TMEM88B	0.7
VWA1	38.9
ATAD3C	2.7
ATAD3B	26.1
ATAD3A	16.0
TMEM240	0.8
SSU72	53.9
FNDC10	1.4
MIB2	40.8
MMP23B	6.4
CDK11B	26.6
SLC35E2B	29.6
CDK11A	26.9
SLC35E2A	16.4
NADK	88.7
GNB1	161.7
CALML6	0.2
TMEM52	0.0
CFAP74	0.4
GABRD	2.6
PRKCZ	21.1
FAAP20	20.6
SKI	64.3
MORN1	23.5
RER1	112.0
PEX10	15.5
PLCH2	7.8
PANK4	19.4
HES5	0.0
TNFRSF14	106.2
PRXL2B	47.2
MMEL1	5.4
TTC34	1.8
ACTRT2	0.0
PRDM16	3.7
ARHGEF16	67.9
MEGF6	34.5
TPRG1L	33.8
WRAP73	15.5
TP73	1.6
CCDC27	0.2
SMIM1	3.1
LRRC47	16.9
CEP104	27.6
DFFB	7.8
C1orf174	17.8
AJAP1	0.1
NPHP4	20.8
KCNAB2	31.3
CHD5	0.2
AL031847.2	0.0
RPL22	85.5
RNF207	54.6
ICMT	34.8
HES3	0.0
GPR153	30.0
ACOT7	41.1
HES2	0.9
ESPN	5.3
TNFRSF25	37.9
PLEKHG5	55.6
NOL9	20.7
TAS1R1	0.3
ZBTB48	45.2
KLHL21	41.5
PHF13	7.9
THAP3	19.3
DNAJC11	41.4
CAMTA1	29.0
VAMP3	89.6
PER3	9.9
UTS2	11.0
TNFRSF9	2.7
PARK7	78.6
ERRFI1	235.3
SLC45A1	0.8
RERE	47.8
ENO1	705.1
CA6	0.0
SLC2A7	0.0
SLC2A5	4.8
GPR157	8.4
H6PD	49.2
SPSB1	29.1
SLC25A33	1.8
TMEM201	6.5
PIK3CD	12.2
CLSTN1	104.4
CTNNBIP1	20.4
LZIC	19.6
NMNAT1	10.5
