chrom	start	end	geneid	genename
chr1	11869	14362	LOC102725121	NR_148357
chr1	11874	14409	DDX11L1	NR_046018
chr1	14362	29370	WASH7P	NR_024540
chr1	17369	17436	MIR6859-1	NR_106918
chr1	17369	17436	MIR6859-2	NR_107062
chr1	17369	17436	MIR6859-3	NR_107063
chr1	17369	17436	MIR6859-4	NR_128720
chr1	30366	30503	MIR1302-10	NR_036267
chr1	30366	30503	MIR1302-11	NR_036268
chr1	30366	30503	MIR1302-2	NR_036051
chr1	30366	30503	MIR1302-9	NR_036266
chr1	34611	36081	FAM138A	NR_026818
chr1	34611	36081	FAM138C	NR_026822
chr1	34611	36081	FAM138F	NR_026820
chr1	69091	70008	OR4F5	NM_001005484
chr1	134773	140566	LOC729737	NR_039983
chr1	323892	328581	LOC100132062	NR_028325
chr1	323892	328581	LOC100132287	NR_028322
chr1	367659	368597	OR4F16	NM_001005277
chr1	367659	368597	OR4F29	NM_001005221
chr1	562760	564389	LOC101928626	NR_125957
chr1	567995	568065	MIR12136	NR_162149
chr1	661139	665731	LOC100133331	NR_028327
chr1	700245	714068	LOC100288069	NR_033908
chr1	752751	755214	FAM87B	NR_103536
chr1	761586	762902	LINC00115	NR_024321
chr1	762971	794826	LINC01128	NR_047519
chr1	803451	812182	FAM41C	NR_027055
chr1	852198	855072	LINC02593	NR_026874
chr1	861111	879954	SAMD11	NM_152486
chr1	879583	894636	NOC2L	NM_015658
chr1	895964	901099	KLHL17	NM_198317
chr1	901862	911245	PLEKHN1	NM_001160184
chr1	910578	917473	PERM1	NM_001291367
chr1	934344	935477	HES4	NM_001142467
chr1	948877	949919	ISG15	NM_005101
chr1	955500	991494	AGRN	NM_001305275
chr1	995114	1001833	LOC100288175	NR_148960
chr1	1006347	1009686	RNF223	NM_001205252
chr1	1017203	1051469	C1orf159	NM_017891
chr1	1072397	1079434	LINC01342	NR_038869
chr1	1102484	1102578	MIR200B	NR_029639
chr1	1103243	1103332	MIR200A	NR_029834
chr1	1104385	1104467	MIR429	NR_029957
chr1	1109260	1133315	TTLL10	NM_001130045
chr1	1138888	1141972	TNFRSF18	NM_148901
chr1	1146720	1149533	TNFRSF4	NM_003327
