Hugo_Symbol	Chromosome	arm
A1BG	19q13.43	19q
A1BG-AS1	19q13.43	19q
A1CF	10q11.23	10q
A2M	12p13.31	12p
A2M-AS1	12p13.31	12p
A2ML1	12p13.31	12p
A2ML1-AS1	12p13.31	12p
A2ML1-AS2	12p13.31	12p
A2MP1	12p13.31	12p
A3GALT2	1p35.1	1p
A4GALT	22q13.2	22q
A4GNT	3q22.3	3q
AA	11p15	11p
AAAS	12q13.13	12q
AACS	12q24.31	12q
AACSP1	5q35.3	5q
AADAC	3q25.1	3q
AADACL2	3q25.1	3q
AADACL2-AS1	3q25.1	3q
AADACL3	1p36.21	1p
AADACL4	1p36.21	1p
AADACP1	3q25.1	3q
AADAT	4q33	4q
AAGAB	15q23	15q
AAK1	2p13.3	2p
AAMDC	11q14.1	11q
AAMP	2q35	2q
AANAT	17q25.1	17q
AAR2	20q11.23	20q
AARD	8q24.11	8q
AARS1	16q22.1	16q
AARS1P1	4q28.3	4q
AARS2	6p21.1	6p
AARSD1	17q21.31	17q
AASDH	4q12	4q
AASDHPPT	11q22.3	11q
AASS	7q31.32	7q
AATBC	21q22.3	21q
AATF	17q12	17q
AATK	17q25.3	17q
AAVS1	19q13	19q
ABALON	20q11.21	20q
ABAT	16p13.2	16p
ABCA1	9q31.1	9q
ABCA2	9q34.3	9q
ABCA3	16p13.3	16p
ABCA4	1p22.1	1p
ABCA5	17q24.3	17q
ABCA6	17q24.2-q24.3	17q
ABCA7	19p13.3	19p
ABCA8	17q24.2	17q
ABCA9	17q24.2	17q
ABCA9-AS1	17q24.2	17q
ABCA10	17q24.3	17q
ABCA11P	4p16.3	4p
ABCA12	2q35	2q
ABCA13	7p12.3	7p
ABCA17P	16p13.3	16p
ABCB1	7q21.12	7q
ABCB4	7q21.12	7q
ABCB5	7p21.1	7p
ABCB6	2q35	2q
ABCB8	7q36.1	7q
ABCB9	12q24.31	12q
ABCB10	1q42.13	1q
ABCB10P1	15q11.2	15q
ABCB10P2	15q11.2	15q
ABCB10P3	15q13.1	15q
ABCB10P4	15q13.1	15q
ABCB11	2q31.1	2q
ABCC1	16p13.11	16p
ABCC2	10q24.2	10q
ABCC3	17q21.33	17q
ABCC4	13q32.1	13q
ABCC5	3q27.1	3q
ABCC5-AS1	3q27.1	3q
ABCC6	16p13.11	16p
ABCC6P1	16p12.3	16p
ABCC6P2	16p13.11	16p
ABCC8	11p15.1	11p
ABCC9	12p12.1	12p
ABCC10	6p21.1	6p
ABCC11	16q12.1	16q
ABCC12	16q12.1	16q
ABCC13	21q11.2	21q
ABCD1P1	2p11.2	2p
ABCD1P2	10p11.1	10p
ABCD1P3	16p11.2	16p
ABCD1P4	22q11.1	22q
ABCD1P5	2p11.1	2p
ABCD2	12q12	12q
ABCD3	1p21.3	1p
ABCD4	14q24.3	14q
ABCE1	4q31.21	4q
ABCF1	6p21.33	6p
ABCF1-DT	6p21.33	6p
ABCF2	7q36.1	7q
ABCF2-H2BE1	7q36.1	7q
ABCF2P1	3p11.1	3p
ABCF2P2	7q11.22	7q
ABCF3	3q27.1	3q
ABCG1	21q22.3	21q
ABCG2	4q22.1	4q
ABCG4	11q23.3	11q
ABCG5	2p21	2p
ABCG8	2p21	2p
ABHD1	2p23.3	2p
ABHD2	15q26.1	15q
ABHD3	18q11.2	18q
ABHD4	14q11.2	14q
ABHD5	3p21.33	3p
ABHD6	3p14.3	3p
ABHD8	19p13.11	19p
ABHD10	3q13.2	3q
ABHD11	7q11.23	7q
ABHD11-AS1	7q11.23	7q
ABHD11-AS2	7q11.23	7q
ABHD12	20p11.21	20p
ABHD12B	14q22.1	14q
ABHD13	13q33.3	13q
ABHD14A	3p21.2	3p
ABHD14A-ACY1	3p21.2	3p
ABHD14B	3p21.2	3p
ABHD15	17q11.2	17q
ABHD15-AS1	17q11.2	17q
ABHD16A	6p21.33	6p
ABHD16B	20q13.33	20q
ABHD17A	19p13.3	19p
ABHD17AP1	1q21.2	1q
ABHD17AP2	1q21.1	1q
ABHD17AP3	1q41	1q
ABHD17AP4	22q11.21	22q
ABHD17AP5	22q11.22	22q
ABHD17AP6	17p11.2	17p
ABHD17AP7	16p11.2	16p
ABHD17AP8	16p11.2	16p
